CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,TREECOUNT,STAGE
1809180037290487.0,332,3,3.0,25,2024,261.0,9.9,45.0,45.0,1.0,4.0
1809180038290487.0,332,3,4.0,25,2024,261.0,12.2,53.0,45.0,1.0,4.0
1809180039290487.0,332,3,6.0,25,2024,261.0,7.1,30.0,30.0,1.0,3.0
1809180040290487.0,332,3,7.0,25,2024,261.0,19.6,84.0,84.0,1.0,6.0
1809180043290487.0,332,3,11.0,25,2024,261.0,5.9,27.0,27.0,1.0,3.0
1809180044290487.0,332,3,12.0,25,2024,261.0,5.1,26.0,26.0,1.0,3.0
1809180045290487.0,332,4,1.0,25,2024,261.0,10.0,51.0,51.0,1.0,4.0
1809180049290487.0,332,4,6.0,25,2024,261.0,6.7,34.0,23.0,1.0,3.0
1809180052290487.0,332,4,9.0,25,2024,261.0,7.5,35.0,35.0,1.0,3.0
1809180054290487.0,332,4,13.0,25,2024,261.0,,,,1.0,
1809180055290487.0,332,4,14.0,25,2024,261.0,4.5,28.0,28.0,1.0,2.0
1809180056290487.0,332,4,15.0,25,2024,261.0,5.6,32.0,28.0,1.0,3.0
1809180072290487.0,338,1,2.0,25,2024,261.0,14.2,74.0,74.0,1.0,5.0
1809180074290487.0,338,1,4.0,25,2024,261.0,10.8,45.0,45.0,1.0,4.0
1809180075290487.0,338,1,5.0,25,2024,261.0,,,,1.0,
1809180077290487.0,338,1,7.0,25,2024,261.0,10.6,48.0,48.0,1.0,4.0
1809180080290487.0,338,1,11.0,25,2024,261.0,10.4,40.0,40.0,1.0,4.0
1809180089290487.0,338,3,1.0,25,2024,261.0,3.2,16.0,16.0,1.0,2.0
1809180091290487.0,338,3,3.0,25,2024,261.0,6.4,25.0,25.0,1.0,3.0
1809180093290487.0,338,3,5.0,25,2024,261.0,9.5,44.0,44.0,1.0,4.0
1809180095290487.0,338,3,7.0,25,2024,261.0,12.6,48.0,48.0,1.0,5.0
1809180877290487.0,462,1,2.0,25,2024,261.0,18.1,75.0,75.0,1.0,5.0
1809180886290487.0,462,2,1.0,25,2024,261.0,5.8,36.0,36.0,1.0,3.0
1809180888290487.0,462,2,3.0,25,2024,261.0,12.8,62.0,62.0,1.0,5.0
1809180891290487.0,462,2,7.0,25,2024,261.0,6.7,36.0,36.0,1.0,3.0
1809180892290487.0,462,2,8.0,25,2024,261.0,7.5,56.0,56.0,1.0,3.0
1809180893290487.0,462,2,10.0,25,2024,261.0,6.4,47.0,47.0,1.0,3.0
1809180894290487.0,462,2,11.0,25,2024,261.0,7.9,50.0,50.0,1.0,3.0
1809180896290487.0,462,3,1.0,25,2024,261.0,,,,1.0,
1809180897290487.0,462,3,2.0,25,2024,261.0,24.2,95.0,95.0,1.0,6.0
