CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1837980309290487,845,3,9,23,2024,261.0,10.8,45.0,45.0,4.0
1837980331290487,845,4,18,23,2024,261.0,14.1,61.0,61.0,5.0
1837995460290487,862,3,1,23,2024,261.0,16.3,56.0,56.0,5.0
1838010821290487,908,2,1,23,2024,261.0,,,,
1838010822290487,908,2,3,23,2024,261.0,,,,
1838010824290487,908,2,6,23,2024,261.0,,,,
1838010825290487,908,2,7,23,2024,261.0,6.8,33.0,33.0,3.0
1838010826290487,908,2,8,23,2024,261.0,,,,
1838010830290487,908,2,12,23,2024,261.0,5.3,21.0,21.0,3.0
1838010831290487,908,2,13,23,2024,261.0,5.7,32.0,32.0,3.0
1838010850290487,908,3,12,23,2024,261.0,1.0,5.0,5.0,1.0
1837976241290487,914,1,34,23,2024,261.0,6.1,27.0,27.0,3.0
1837976285290487,914,3,10,23,2024,261.0,10.5,40.0,40.0,4.0
1837976296290487,914,4,9,23,2024,261.0,8.9,47.0,47.0,4.0
1837976300290487,914,4,11,23,2024,261.0,8.8,36.0,32.0,4.0
1837976301290487,914,4,18,23,2024,261.0,9.1,45.0,45.0,4.0
1837976306290487,914,4,27,23,2024,261.0,7.8,36.0,36.0,3.0
1837976312290487,914,4,33,23,2024,261.0,5.3,29.0,29.0,3.0
1837976164290487,964,2,12,23,2024,261.0,18.0,60.0,60.0,5.0
1837976170290487,964,2,24,23,2024,261.0,10.5,41.0,41.0,4.0
1837976171290487,964,2,25,23,2024,261.0,6.5,31.0,31.0,3.0
1837976177290487,964,3,9,23,2024,261.0,,,,
1837968907290487,1496,1,8,23,2024,261.0,9.9,43.0,43.0,4.0
1837968931290487,1496,4,7,23,2024,261.0,9.7,35.0,35.0,4.0
1837968932290487,1496,4,9,23,2024,261.0,10.3,48.0,48.0,4.0
1837965393290487,1661,1,27,23,2024,261.0,7.4,31.0,31.0,3.0
1837965447290487,1661,4,23,23,2024,261.0,,,,
1838010777290487,1730,1,24,23,2024,261.0,8.9,44.0,44.0,4.0
1838010779290487,1730,1,91,23,2024,261.0,8.4,37.0,37.0,4.0
1838011426290487,1809,3,8,23,2024,261.0,9.6,31.0,31.0,4.0
1838011427290487,1809,3,9,23,2024,261.0,7.8,35.0,35.0,3.0
1838010890290487,1996,1,18,23,2024,261.0,5.0,32.0,32.0,3.0
1838010892290487,1996,2,3,23,2024,261.0,6.0,37.0,17.0,3.0
1838010893290487,1996,2,5,23,2024,261.0,9.9,49.0,49.0,4.0
1838010894290487,1996,2,9,23,2024,261.0,16.3,55.0,55.0,5.0
1838010897290487,1996,2,16,23,2024,261.0,10.2,48.0,48.0,4.0
1838010898290487,1996,2,17,23,2024,261.0,10.5,36.0,36.0,4.0
